id,word_set_id,word_id
1,1,1
2,1,2
3,1,3
4,1,4
5,2,5
6,2,6
7,2,7
8,2,8
9,1,12
10,2,11
11,1,14
12,2,13
13,1,16
14,2,15
15,1,18
16,2,17
17,1,20
18,2,19
19,1,22
20,2,21
21,1,24
22,2,23
23,1,26
24,2,25
25,3,30
26,4,29
27,3,32
28,4,31
29,3,34
30,4,33
31,3,36
32,4,35
33,3,38
34,4,37
35,3,40
36,4,39
37,3,42
38,4,41
39,3,44
40,4,43
41,3,46
42,4,45
43,3,48
44,4,47
45,3,50
46,4,49
47,3,52
48,4,51
49,5,56
50,6,55
51,5,58
52,6,57
53,5,60
54,6,59
55,5,62
56,6,61
57,5,64
58,6,63
59,5,66
60,6,65
61,5,68
62,6,67
63,5,70
64,6,69
65,5,72
66,6,71
67,5,74
68,6,73
69,5,76
70,6,75
71,5,78
72,6,77
73,5,80
74,6,79
75,5,82
76,6,81
77,5,84
78,6,83
