id,orig_lang,trans_lang,orig_word,trans_word
1,1,2,5,1
2,1,2,6,2
3,1,2,7,3
4,1,2,8,4
5,1,2,10,9
6,2,1,9,10
7,2,1,1,5
8,2,1,2,6
9,2,1,3,7
10,2,1,4,8
11,1,2,11,12
12,2,1,12,11
13,1,2,13,14
14,2,1,14,13
15,1,2,15,16
16,2,1,16,15
17,1,2,17,18
18,2,1,18,17
19,1,2,19,20
20,2,1,20,19
21,1,2,21,22
22,2,1,22,21
23,1,2,23,24
24,2,1,24,23
25,1,2,25,26
26,2,1,26,25
27,1,2,28,27
28,2,1,27,28
29,1,2,29,30
30,2,1,30,29
31,1,2,31,32
32,2,1,32,31
33,1,2,33,34
34,2,1,34,33
35,1,2,35,36
36,2,1,36,35
37,1,2,37,38
38,2,1,38,37
39,1,2,39,40
40,2,1,40,39
41,1,2,41,42
42,2,1,42,41
43,1,2,43,44
44,2,1,44,43
45,1,2,45,46
46,2,1,46,45
47,1,2,47,48
48,2,1,48,47
49,1,2,49,50
50,2,1,50,49
51,1,2,51,52
52,2,1,52,51
53,1,2,54,53
54,2,1,53,54
55,1,2,55,56
56,2,1,56,55
57,1,2,57,58
58,2,1,58,57
59,1,2,59,60
60,2,1,60,59
61,1,2,61,62
62,2,1,62,61
63,1,2,63,64
64,2,1,64,63
65,1,2,65,66
66,2,1,66,65
67,1,2,67,68
68,2,1,68,67
69,1,2,69,70
70,2,1,70,69
71,1,2,71,72
72,2,1,72,71
73,1,2,73,74
74,2,1,74,73
75,1,2,75,76
76,2,1,76,75
77,1,2,77,78
78,2,1,78,77
79,1,2,79,80
80,2,1,80,79
81,1,2,81,82
82,2,1,82,81
83,1,2,83,84
84,2,1,84,83
