id,wordstr,audiopath,language_id,type,pronunciation,imgsrc_id
1,תפוח,,2,1,Tapuch,1
2,אפרסק,,2,1,Afarsek,6
3,שזיפ,,2,1,Shezif,3
4,מנגו,,2,1,Mango,6
5,Apple,,1,1,a-pl,1
6,Peach,,1,1,peech,6
7,Plum,,1,1,pluhm,3
8,Mango,,1,1,mang-go,6
9,פרי,,2,1,pri,
10,Fruit,,1,1,froot,
11,Kiwi,,1,1,kee-wee,
12,קיוי,,2,1,ki-wi,
13,Honeydew Melon,,1,1,meh-luhn,
14,מלון,,2,1,me-lon,
15,Cherry,,1,1,cheh-ree,
16,דובדבן,,2,1,duv-de-van,
17,Grape,,1,1,grayp,
18,ענב,,2,1,ey-nav,
19,Watermelon,,1,1,waa-tr-meh-luhn,
20,אבטיח,,2,1,a-va-ti-akh,
21,Pear,,1,1,pehr,
22,אגס,,2,1,a-gas,
23,Banana,,1,1,buh-na-nuh,
24,בננה,,2,1,ba-na-na,
25,Cantaloupe,,1,1,kan-tuh-lowp,
26,מלון,,2,1,me-lon,
27,ירקות,,2,1,,
28,Vegetables,,1,1,,
29,Mushroom,,1,1,muh-shroom,
30,פטריה,,2,1,pit-ri-yot,
31,Broccoli,,1,1,braa-kuh-lee,
32,ברוקולי,,2,1,bro-ki-li,
33,Cabbage,,1,1,ka-buhj,
34,כרוב,,2,1,kruv,
35,Cauliflower,,1,1,kaa-luh-flau-ur,
36,כרובית,,2,1,kruv-it,
37,Corn,,1,1,korn,
38,תירס,,2,1,ti-ros,
39,Cucumber,,1,1,kyoo-kuhm-br,
40,מלפפון,,2,1,me-la-fe-fon,
41,Lettuce,,1,1,leh-tuhs,
42,חסה,,2,1,kha-sa,
43,Parsley,,1,1,paar-slee,
44,פטרוזיליה,,2,1,pet-ro-zil-ya,
45,Radish,,1,1,ra-duhsh,
46,צנון,,2,1,tzen-ton,
47,Asparagus,,1,1,uh-speh-ruh-guhs,
48,אספרגוס,,2,1,ah-spara-gos,
49,Pea,,1,1,pee,
50,אפונה,,2,1,af-khad,
51,Brussels Sprout,,1,1,bruh-slz sprowts,
52,כרוב ניצנים,,2,1,kruv nitz-a-nim,
53,מספרים,,2,1,,
54,Numbers,,1,1,,
55,Zero,,1,1,zi-ro,
56,אפס,,2,1,ef-es,
57,One,,1,1,wun,
58,אחת,,2,1,akh-at,
59,Two,,1,1,to,
60,שתיים,,2,1,sh-ta-eim,
61,Three,,1,1,th-ree,
62,שלוש,,2,1,sha-losh,
63,Four,,1,1,fh-or,
64,ארבע,,2,1,ar-ba,
65,Five,,1,1,fh-hive,
66,חמש,,2,1,kha-mesh,
67,Six,,1,1,six,
68,שש,,2,1,she-sh,
69,Seven,,1,1,se-ven,
70,שבע,,2,1,she-va,
71,Eight,,1,1,hey-th,
72,שמונה,,2,1,sh-mo-ne,
73,Nine,,1,1,nah-in,
74,תשע,,2,1,te-sha,
75,Ten,,1,1,ten,
76,עשר,,2,1,eh-ser,
77,Eleven,,1,1,ill-eh-ven,
78,אחת עשרה,,2,1,akh-at es-re,
79,Twelve,,1,1,thwe-lv,
80,שתים עשרה,,2,1,sh-teim es-re,
81,Twenty,,1,1,thwen-ty,
82,עשרים,,2,1,es-rim,
83,Hundred,,1,1,hund-rid,
84,מאה,,2,1,me-ah,
